Created At,Screen Name,Tweet Text
Wed Sep 25 12:14:06 +0000 2024,Hayama_Fuka,お手紙・プレゼントを受け取りました🕊️  みんないつもありがとう🌱(←この絵文字も付けてくれてありがとねっ)  私の好みとか知ってくれて、たくさんの想いが込められたお手紙やプレゼント。 本当に励みになります！  ↓続くよ〜
Sun Nov 17 03:31:32 +0000 2024,Hayama_Fuka,本日20:30〜With×MEETS🪷✨  　　　　　★綴理先輩★ ♥️お誕生日おめでとうございます♥️  ぜひご覧ください！  #With蓮ノ空　#リンクラ
Mon Jul 08 12:06:48 +0000 2024,Hayama_Fuka,With×MEETSご覧いただきありがとうございました🪷  小鈴ちゃんは初めてのセリフ読み！ みなさんどうでしたか？感想お待ちしております✨
Sat Nov 16 09:15:30 +0000 2024,Hayama_Fuka,#はやラキ　第三回まもなくです🌱  距離感縮めるためにタメ口で〜って生放送で言ってたけど、慣れてなくて自然と敬語出てます😐  変に意識してて初回より緊張気味で話してます……_(:3 」∠)_  温かく見守ってね……👀
Thu Oct 10 06:26:24 +0000 2024,Hayama_Fuka,「Take It Over(104期Ver.)」が追加されました！  習得してね〜！！  ⚡️⚡️⚡️  #蓮ノ空　#リンクラ
Mon Aug 26 05:46:21 +0000 2024,Hayama_Fuka,本日20:30〜With×MEETS🪷✨  サムネイルからすでに小鈴ちゃんの気合いを感じられますね☺️  ぜひご覧ください！  #With蓮ノ空　#リンクラ
Fri Oct 18 10:57:16 +0000 2024,Hayama_Fuka,番組公式アカウントが開設されました🌱  各コーナーの詳細が記載されておりますのでご確認ください☑️  メールの送り方が文化放送ホームページにあるみたい👀 テンプレ使って送ってみてね🕊️↓  https://t.co/hrKr3goUpZ  #はやラキ
Sat Nov 23 11:04:57 +0000 2024,Hayama_Fuka,#はやラキ　第四回ご視聴いただきありがとうございました🌱  新しいぬい家族パモさん！！ いかめしにほっぺすりすりしててよく感電してます💡  たくさんのぬいに囲まれてぬくぬく幸せです…  ｽﾔｧ…………
Thu Sep 05 16:09:55 +0000 2024,Hayama_Fuka,9月5日　木よう日  ちょっとだけ夜風がすずしくなってきたね  そうでもない？  アイスがさむく感じる  いかめし  #はやまぬい家族にっき
Wed Jan 08 09:33:34 +0000 2025,Hayama_Fuka,超A&amp;G＋にて19:00〜 #はやラキ　第十一回放送です🌱  (QloveRは1/11 19:00〜)  ぜひご覧ください✨
Sat Dec 21 23:27:24 +0000 2024,Hayama_Fuka,Live &amp; Fan Meeting TRY TRY UNITY!!! Day2🪷  会場にお越しの方はお気をつけてお越し下さい！ 配信でご覧の方は会場の熱に負けないぐらいの気持ち、届ける準備できてるかー？！ 君の声ちゃんと届いてるからね🕺  今日も素敵なファンミにしようね💫  徒町小鈴役　葉山風花🦖  #蓮ノ空ファンミDay2
Sun Jul 21 06:09:25 +0000 2024,Hayama_Fuka,大切に大切に…！歌わせていただきました☀️  ぜひ習得してね🎤
Thu Oct 03 12:18:36 +0000 2024,Hayama_Fuka,ご覧いただきありがとうございました🪷✨  メンバーカラー決定だぁぁ🩵💛💜  小鈴ちゃんは「いちばん星色」！  104期メンバーカラーもよろしくお願いいたします！！  #With蓮ノ空　#リンクラ
Sat Jul 06 02:13:03 +0000 2024,Hayama_Fuka,髪伸びた〜🌼 ちょっと巻き取れてるけど、こういう髪型もどうでしょう？ https://t.co/Ag3CDwMxB2
Fri Sep 27 11:35:00 +0000 2024,Hayama_Fuka,せーはす！更新されました🪷✨  運動会……完結編…  ぜひご覧ください！！  #蓮ノ空　#せーはす
Tue Jul 09 09:31:40 +0000 2024,Hayama_Fuka,あと、ちょっとずつだけど #はやまぬい家族にっき　も更新できたらいいなと思ってるよ✏️  楽しみにしてくれてありがとう✨
Mon Oct 28 02:50:42 +0000 2024,Hayama_Fuka,本日20:00〜Fes×LIVEです🪷  ー　届け！　ー  #蓮ノ空　#リンクラ
Wed Nov 20 03:31:42 +0000 2024,Hayama_Fuka,\リンクラ1.5周年/ 　　おめでとうございます㊗️🎉  引き続きご声援のほどよろしくお願いいたします！  #リンクラハーフアニバ
Mon Jul 08 06:52:33 +0000 2024,Hayama_Fuka,本日20:30〜With×MEETSです🪷  ぜひご覧ください！  #With蓮ノ空 #リンクラ
Fri Aug 16 10:14:57 +0000 2024,Hayama_Fuka,8月16日　金よう日  お外に出られないから  お家でゆっくりまったり  ギガちゃんも海底のおしごとお休みだってさ  (海底って文字、ふうかにおしえてもらったよ)  いかめし  #はやまぬい家族にっき
Mon Nov 25 04:31:54 +0000 2024,Hayama_Fuka,余韻！！ とっっても楽しいライブだったぁぁ😢  常に先輩4人が背中を押してくれていて、私も小鈴ちゃんも前よりもリラックスしてパフォーマンスに集中できました✨  今回でまた新たな課題を発見できたので またパワーアップできるように頑張ります💪  (あの日当たったペカ町を添えて………) https://t.co/2yZgaeC7Yg
Sun Oct 27 04:59:57 +0000 2024,Hayama_Fuka,金沢での一枚  しあわせおすそわけ  ［はやま］  #はやまぬい家族にっき https://t.co/25BkFcblgp
Fri Nov 08 11:11:01 +0000 2024,Hayama_Fuka,#せーはす　更新されました🪷✨  葉山のターンｯｯ！！！ドローｯｯ！！  ぜひご覧ください！
Fri Jul 05 11:06:18 +0000 2024,Hayama_Fuka,せーはす！更新されました🪷  DOLLCHESTRA回　後半です！  みなさま是非ご覧ください✨
Mon Nov 25 00:41:24 +0000 2024,Hayama_Fuka,大好きな曲を歌わせていただけるなんて…🪽  こちらにも想い込めております♥️ ぜひ習得してね！
Tue Jul 09 09:31:35 +0000 2024,Hayama_Fuka,こんばんは🌱  みなさんからのお手紙受け取りました🕊️  ライブの感想や、その後のみらぱラジオゲスト回の感想などたくさん書いてくださりありがとうございます🫶 ポストしてくれてた方、いつもちゃんと届いてるよ！  みんなも暑さには気をつけて過ごしてね〜！
Thu Jul 18 09:29:18 +0000 2024,Hayama_Fuka,7月18日　木よう日  このあいだカミナリがなってて  ずっとお外みてたよ  雨もいっぱいふってた  水たまりでおよげるかな？  いかめし  #はやまぬい家族にっき
Sat Jun 29 03:30:32 +0000 2024,Hayama_Fuka,せーはす観て健康診断行ってみなきゃ！と思いつつ、同時に親知らずもどのタイミングで抜けばいいのかっていう悩みも爆誕して困ってる(　˙-˙　)  (4本元気に成長してるらしい)  #せーはす
Wed Oct 23 09:01:40 +0000 2024,Hayama_Fuka,なんか、しらんやつおる  ［いかめし］  #はやまぬい家族にっき
Sat Aug 24 07:53:34 +0000 2024,Hayama_Fuka,蓮ノ空のこと好き好きクラブのみなさん！ 現地でも配信でもご参加いただきありがとうございました🪷✨ ぜひ感想をお聞かせください♪  直接まだ会えていない方にも会えるように、その機会を作るためにも引き続き頑張りたいと思います💪  本日はありがとうございました！  #みらぱとドルケと公開収録 https://t.co/VY667hXwmC
Tue Dec 17 08:41:19 +0000 2024,Hayama_Fuka,葉山に似合いそうなボーカロイド曲ありますー？  結構前にみんなから聞いた曲も練習してみてるよ☺︎  ニュアンスの練習で課題曲にしたいのでご協力ください！🎤
Thu Aug 15 12:11:52 +0000 2024,Hayama_Fuka,ご視聴ありがとうございました♪  みんなと合宿！ 聴いているこっちまで楽しくなれるわちゃわちゃラジオでしたね╰(*´︶`*)╯  活動記録も更新されました！ ぜひそちらもチェックしてくださいね☑️  #With蓮ノ空
Fri Sep 20 12:13:54 +0000 2024,Hayama_Fuka,せーはす！104更新されました🪷✨  運動会(回)part2！！  ぜひご覧ください❤️💙💛  #せーはす　#蓮ノ空
Wed Aug 21 06:08:56 +0000 2024,Hayama_Fuka,#はやまぬい家族にっき  ［番外編］  やっと行くことができたアレンデール❄️  大好きな作品なので、とても楽しかったし感動しました！  ネタバレを避けるためこの辺で…  夏限定アクアトピアも朝イチ乗って楽しみました🌻  ハロウィンも楽しみだね🎃 https://t.co/JjOK18INWD
Wed Aug 21 04:21:37 +0000 2024,Hayama_Fuka,定期的にお礼しようのコーナーです🌱  みなさんからのリプライやファンアートにいつも元気をもらってます☀️  (ファンアート、もしよかったらメンションして送ってね！観たい！必ず観るよ👀)  個別でいいねや返信はできないけど、心の中で全てに返信してるよ！ いつもたくさんの声援ありがとう🫶
